 Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,Label
278.0,258.0,24869.0,67978.0,7065.0,1065.0,1951.8924408924404,1763.104681650258,25041.0,2878.0,5721.24574345096,5750.377215338249,378574.59795053775,4469.648529100211,16442241.97916361,75711968.45860662,372918627.0,68.0,796992355.0,31294473.71765161,103526665.35801384,372896801.0,87.0,796137335.0,35173735.82444273,109394861.21814412,373910401.0,93.0,0.0,0.0,0.0,0.0,5896.0,5480.0,2245.7115788850547,2223.936950215157,1065.0,25475.0,3558.944708713489,5303.53101365972,2313780.938724766,0.0
297.0,1175.0,10043.0,3565688.0,2610.0,96.0,557.3655664585191,799.2000804814593,35412.0,330.0,4916.705570291777,4844.778739676208,inf,inf,236101.71820657057,859564.5441596095,28442302.0,160353.0,30312983.0,142959.8964539007,1862203.567173583,28169449.0,12.0,2142620.0,12287.09804378202,59237.80023332533,1246019.0,17.0,6.0,0.0,0.0,0.0,5988.0,23548.0,8110114.2219905965,107361.07621984663,96.0,35643.0,3819.068128654967,4870.819979421052,13686783.500258591,0.0
84.0,23.0,2177.0,906.0,453.0,0.0,265.29166666666663,221.87492767008203,453.0,453.0,453.0,0.0,57.12938705348641,35468.384513178265,58748866.82222222,177754409.89768857,538907615.0,209.0,539590077.0,75146338.48214287,201000943.2358632,538907303.0,12.0,24.0,24.0,0.0,24.0,24.0,10.0,0.0,0.0,0.0,1704.0,496.0,13533.086023439822,21935.298489738452,0.0,453.0,315.6363636363636,205.68893924168572,4240.2,2.0
8.0,8.0,338.0,630.0,169.0,169.0,169.0,0.0,315.0,315.0,315.0,0.0,41166.069565727885,661.7928279500394,36465.33333333333,63140.75754131175,109374.0,9.0,13.0,13.0,0.0,13.0,13.0,9.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,160.0,160.0,330.8964139750197,330.8964139750197,169.0,315.0,227.4,79.96749339575425,2108.3999999999996,0.0
4206.0,0.0,1850640.0,0.0,10120.0,10120.0,10120.0,0.0,0.0,0.0,0.0,0.0,953872771.1651002,2167892.6617388646,3318.680067001674,4378.476341261509,28216.0,8.0,651138.0,3318.680067001674,4378.476341261509,28216.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14256.0,0.0,2167892.6617388646,0.0,10120.0,10120.0,10120.0,0.0,0.0,23.0
14.0,14.0,628.0,668.0,176.0,0.0,44.85714285714285,59.79304968981587,84.0,0.0,47.71428571428572,34.71959892410265,20.86517479486241,0.4507908134692495,2300483.962962964,11180198.826822847,58133665.0,1.0,62032186.0,4771706.615384614,16064481.580336113,58133665.0,2.0,62072190.0,4774783.846153846,16093977.178320363,58227170.0,1.0,1.0,0.0,0.0,0.0,280.0,280.0,0.2253954067346248,0.2253954067346248,0.0,176.0,46.27586206896552,47.13422819968833,2221.6354679802957,0.0
7.0,8.0,101.0,31.0,35.0,31.0,33.666666666666664,2.309401076758503,31.0,0.0,10.333333333333332,17.8978583448784,1441.4729232415668,3918.2730045351473,955682.6,320744.2916893587,1226693.0,739325.0,739805.0,739561.5,341.5325753131024,739803.0,739320.0,92464.0,46233.5,65374.143241039885,92460.0,7.0,1.0,0.0,0.0,0.0,188.0,220.0,998.6097836874105,2919.6632208477363,0.0,35.0,23.28571428571429,16.007438746973087,256.23809523809524,3.0
144.0,0.0,61200.0,0.0,2872.0,2440.0,2811.032258064516,138.46401226863023,0.0,0.0,0.0,0.0,1041285358.1225623,3675732.6394688287,10323.057767369242,21010.13262978373,47570.0,15.0,76831.0,10323.057767369242,21010.13262978373,47570.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3696.0,0.0,3675732.639468828,0.0,2440.0,2872.0,2817.142857142857,133.42103646092656,10529.253456221199,8.0
1622.0,7.0,706190.0,184.0,4492.0,4400.0,4453.75,45.650066499716864,92.0,92.0,92.0,0.0,636127933.4788089,1488613.6704547477,12019136.398939138,35983358.429599084,107977555.0,220.0,108438226.0,15452451.724335967,40798055.019324146,107977263.0,17.0,5.0,5.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,36228.0,176.0,1461685.0794608288,26928.590993918944,4400.0,4492.0,4464.181818181818,42.16590608967909,888.9818181818182,12.0
38.0,9.0,616.0,0.0,277.0,0.0,169.55,149.59698481360445,0.0,0.0,0.0,0.0,93714004.97075085,11403136.253042366,213064.0,305998.64948441234,440979.0,28.0,3385.0,1091.6666666666667,1887.4647288247636,3363.0,21.0,9.0,7.5,0.7071067811865476,8.0,7.0,7.0,0.0,0.0,0.0,772.0,204.0,11372062.633740705,31073.619301660354,0.0,277.0,196.7333333333333,131.54071302934872,2479.266666666667,1.0
