,Date_Second, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size,Label
15,09:17:45,21867644,26,13,2782.0,2146.0,1391.0,836.0,974.75,256.915077686883,1073.0,0.0,306.57142857142856,523.570389136888,557333977.4994261,1333391.1600679522,3168803.8095238092,8206837.403113283,21817485.0,13.0,16862730.0,4224317.988095238,8437654.374072617,16861488.0,15.0,5054477.0,842417.8333333335,2039351.91675242,5005037.0,9.0,0,0,0,0,792,424,1333372.3948840161,18.765183935752432,836.0,1909.0,1039.5,387.8240150721287,150407.4666666667,0,0,0,0,3,1,1,0,0.0,1471.0666666666666,974.75,306.57142857142856,1
30,09:18:21,41286880,22,17,1110.0,2146.0,555.0,0.0,138.75,256.915077686883,1073.0,0.0,306.57142857142856,523.570389136888,645.0387191623055,76715.34900856124,6400782.8809523815,16131033.145632036,41243565.0,371.0,36281399.0,9065757.392857142,18134754.758139074,36280005.0,7.0,5047607.0,841274.4999999999,2039894.7202427632,5005051.0,10.0,0,0,0,0,752,592,29374.728447998157,47340.62056056308,0.0,1073.0,203.50000000000003,387.8240150721287,150407.4666666667,0,0,0,0,3,4,4,0,6.0,217.06666666666663,138.75,306.57142857142856,1
42,09:18:46,5026569,14,18,1110.0,2146.0,555.0,0.0,138.75,256.915077686883,1073.0,0.0,306.57142857142856,523.570389136888,647.8691749975029,120321.37496665519,359524.0,1337542.4653301602,5005806.0,328.0,20710.0,2958.5714285714284,7445.21270923231,19835.0,2.0,5025610.0,837637.3333333335,2041690.1380057447,5005174.0,40.0,0,0,0,0,464,592,42958.62502551514,77362.74994114003,0.0,1073.0,203.50000000000003,387.8240150721287,150407.4666666667,0,0,0,0,1,6,6,0,11.0,217.06666666666663,138.75,306.57142857142856,1
62,09:19:20,11949677,26,19,1982.0,4290.0,522.0,0.0,165.16666666666669,244.4901311759316,1073.0,0.0,476.66666666666674,565.2572423242358,985.2852858042102,77710.81175818012,1249318.2833333332,3423449.680237818,10588461.0,361.0,6944204.0,1519564.8636363638,3201122.305320292,6941989.0,5.0,6365553.0,795703.75,1766098.6584477862,5005011.0,13.0,0,0,0,0,880,656,29807.860420357338,47902.951337822786,0.0,1073.0,285.0909090909091,425.2632696164206,180848.84848484848,0,0,0,0,3,4,4,0,6.0,298.6666666666667,165.16666666666666,476.66666666666674,1
86,09:20:08,861,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114944.74444727671,692.0,227.68838354206832,853.0,531.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,8.0,0,0,0,0,192,288,44090.35394740943,70854.39049986728,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6,6,0,9.0,0.0,0.0,0.0,1
113,09:21:07,10941438,39,27,6166.0,10726.0,2257.0,840.0,1267.3181818181818,663.6075199532861,3219.0,0.0,1319.4880952380954,1662.1031199605761,560022134.9840915,1400907.8804900912,656154.1904761905,2526326.764812258,10299309.0,15.0,932430.0,87749.72077922076,283321.0315878063,925162.0,16.0,10940917.0,1581628.0595238092,3903840.6499519562,10299945.0,6.0,0,0,0,0,1296,912,1365345.1914470016,35562.68904308932,840.0,4059.0,1611.9249999999997,1232.6581726274508,507978.14122807013,0,0,0,0,3,2,2,0,2.0,2073.9007518796993,1267.3181818181818,1319.4880952380954,1
250,09:29:00,805,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117408.04321284291,629.5,235.46655813512035,796.0,463.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,9.0,9.0,0,0,0,0,192,288,45870.5373620356,71537.50585080731,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6,6,0,9.0,0.0,0.0,0.0,1
411,09:36:36,802,6,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125651.32888166595,614.0,254.55844122715715,794.0,434.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,8.0,0,0,0,0,192,288,49439.75259986496,76211.576281801,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6,6,0,9.0,0.0,0.0,0.0,1
423,09:37:11,85855,6,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81235.69848991453,43024.166666666664,60261.22339933931,85828.0,460.0,0.0,0.0,0.0,0.0,0.0,764.0,385.5,533.8656197958434,763.0,8.0,0,0,0,0,192,352,29599.096440888843,51636.6020490257,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6,6,0,11.0,0.0,0.0,0.0,1
458,09:38:51,15,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,15.0,0.0,15.0,15.0,10.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,320,64,4166666.666666666,833333.3333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,6,4,0,2.0,0.0,0.0,0.0,1
