Date_Second, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size,Label
13:30:30,109879284729,22313,2178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7527647509.222917,10151144879.114195,28541889164.0,10281.0,109879261506.0,8243124273.504267,10396858447.975584,28541879315.0,11464.0,9145068450.0,2558084920.8455987,4386042359.312594,8116428439.0,2367.0,0,0,0,0,359060,38920,1919480939.996862,3961922.0681514232,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2563,0,0,0,170.0,0.0,0.0,0.0,1
13:30:31,414731759563,67874,7162,112.0,0.0,56.0,0.0,6.222222222222224,18.109326669379527,0.0,0.0,0.0,0.0,1.0181269072176757,,28566659189.57567,38703221484.47002,109070131095.0,41123.0,414731680679.0,31280816190.50296,39654041183.75702,109070103352.0,45206.0,32333131483.0,9232203927.126984,15913502532.17476,29396204517.0,9723.0,0,0,0,0,1357480,143240,7482533140.260394,14536664.399160089,0.0,56.0,5.333333333333334,16.844385810510676,141.86666666666667,0,0,0,0,9777,0,0,0,622.0,5.6,6.222222222222222,0.0,1
13:30:32,385882968598,64558,6852,168.0,0.0,84.0,28.0,34.22222222222223,18.109326669379527,0.0,0.0,0.0,0.0,56000001.019559376,,26793926510.296795,36284917458.44429,101946885774.0,38774.0,385882883091.0,29340957010.617542,37177487824.024254,101946851708.0,43742.0,30855425250.0,8979320917.187302,15425364687.963243,28260160972.0,10416.0,0,0,0,0,1291160,137040,7565873014.325907,19264444.736807764,28.0,84.0,32.67478260869565,15.819762773284387,125.18176548089595,0,1,0,0,9716,1,0,0,687.0,46.878787878787875,34.22222222222222,0.0,1
13:30:33,383273082047,64615,6684,2806.0,4650.0,676.0,0.0,104.96296296296299,181.26265557835018,976.0,0.0,122.36842105263152,276.98203874372206,596.3312396960016,,26862038373.70761,36479290310.77863,102076110854.0,39506.0,383273002287.0,29351784672.717987,37349512177.9243,102077348181.0,43078.0,30859742580.0,8885950036.275417,15363120466.464085,28374355976.0,10648.0,0,0,0,0,1292640,134152,7618172642.234964,16920329.689850204,0.0,1004.0,114.36121212121215,244.0401261867324,55891.784055944074,0,0,0,0,9702,0,0,0,601.0,116.17948717948717,104.96296296296295,122.36842105263158,1
13:30:34,379543181630,64266,6744,112.0,0.0,56.0,0.0,6.222222222222224,18.109326669379527,0.0,0.0,0.0,0.0,1.1389539170040397,,26941408993.31588,36472751054.67321,101384988544.0,42190.0,379543102355.0,29412094273.57041,37327788019.140175,101384959483.0,47552.0,30211452175.0,8445726751.429438,14447810871.54346,26823516722.0,10227.0,0,0,0,0,1285320,134880,7583617694.171154,16737320.95247013,0.0,56.0,5.333333333333334,16.844385810510676,141.86666666666667,0,0,0,0,9795,0,0,0,668.0,5.6,6.222222222222222,0.0,1
13:30:35,374807619867,63304,6694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,26756181936.82549,36419578260.65415,101846359595.0,38603.0,374807540707.0,29307646539.924763,37335556355.4418,101846330910.0,42291.0,30084256473.0,8416300448.826839,14411607980.239006,26770454983.0,10593.0,0,0,0,0,1266080,133880,7684172922.329211,18423851.679028895,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9686,0,0,0,639.0,0.0,0.0,0.0,1
13:30:36,383227145122,64458,6798,112.0,0.0,56.0,0.0,9.600000000000001,21.97365914679783,0.0,0.0,0.0,0.0,1.141226337444865,,27691536697.086163,37568438007.04575,104015121209.0,40732.0,383227064176.0,30247761740.436028,38475454394.2157,104015090415.0,45109.0,30385730185.0,8598080106.504763,14777887013.29299,27362016581.0,9826.0,0,0,0,0,1289160,135960,7301293891.078782,17103462.485111568,0.0,56.0,7.25506072874494,19.34339612076791,188.50562303193882,0,4,0,0,9754,4,0,0,645.0,7.777777777777779,9.6,0.0,1
13:30:37,371783637365,63084,6676,112.0,0.0,56.0,0.0,6.611111111111113,18.618484049585387,0.0,0.0,0.0,0.0,1.2326931061619506,,26911266206.408466,36534417610.497246,101577852143.0,42409.0,371783552392.0,29407207231.66761,37402953132.51233,101577819142.0,46593.0,29628021940.0,8542074645.936508,14702158989.457405,27050614043.0,9267.0,0,0,0,0,1261680,133520,7363705014.486124,16657021.983172096,0.0,56.0,5.187368421052632,16.581298432708095,138.04818713450294,0,0,0,0,9688,0,0,0,667.0,5.444444444444445,6.611111111111111,0.0,1
13:30:38,352380160116,60856,6368,112.0,0.0,56.0,0.0,6.800000000000002,18.786040706351177,0.0,0.0,0.0,0.0,1.1374865490483845,,25779346222.44589,34980384859.618065,96841847649.0,40696.0,352380077211.0,28159937044.613953,35842061636.224495,96841815146.0,44856.0,28753194603.0,8269724875.9616165,14191920079.176073,26102568848.0,9148.0,0,0,0,0,1217192,127360,7789339442.355826,16191985.776553,0.0,56.0,4.753820033955858,15.82091856119637,126.83614412375024,0,0,0,0,9666,3,2,0,655.0,4.977777777777778,6.8,0.0,1
13:30:39,360859106144,61222,6222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,26982482247.770683,36722055908.75858,101161854348.0,39059.0,360859030458.0,29425753159.699375,37594317955.08842,101161826146.0,43776.0,24474754681.0,7218267513.787302,12444675631.103065,22714297101.0,9601.0,0,0,0,0,1224440,124440,7750077378.131083,15900176.805413492,0.0,0.0,0.0,0.0,0.0,0,5,0,0,9599,5,0,0,614.0,0.0,0.0,0.0,1
13:30:40,348979647037,59838,6298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,26206393442.83678,35765019723.61236,98728066083.0,39384.0,348979568367.0,28653619872.11684,36652573580.407,98728036354.0,43524.0,26176127837.0,7641662013.546032,13157381788.67109,24075016715.0,10125.0,0,0,0,0,1196760,125960,7834342893.416446,18087146.55372225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9571,0,0,0,624.0,0.0,0.0,0.0,1
13:30:41,335461369747,57648,6166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,25048245160.07396,34031737572.45758,93716644135.0,39507.0,335461288746.0,27408066840.511894,34872123047.15361,93716613936.0,43661.0,24194392511.0,6969687369.9777775,11909819847.63702,21847788016.0,9405.0,0,0,0,0,1152960,123320,7202993317.215432,14730854.966402156,0.0,0.0,0.0,0.0,0.0,0,0,0,0,9087,0,0,0,617.0,0.0,0.0,0.0,1
13:30:42,284731523682,50675,5298,1594.0,2834.0,524.0,0.0,77.81587301587302,154.58805303182055,976.0,0.0,118.08333333333331,275.46970427075,1477.1411433145122,,21588453904.029358,29294113735.155537,80013408652.0,36803.0,284731451327.0,23561705791.837463,30008836118.9859,80013544102.0,40588.0,21145213005.0,6143680112.221532,10564348879.771393,19366655206.0,8260.0,0,0,0,0,1013768,106264,7175770401.413046,15001388.51117179,0.0,1060.0,100.80947996589933,241.68310251010706,46963.88739982949,0,7,0,0,8520,7,0,0,588.0,103.30000000000001,77.81587301587301,118.08333333333331,1
13:30:43,249682117821,45782,4764,56.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,56000000.0,,19325741869.89076,26475158375.61326,72235614812.0,38797.0,249682048125.0,21091196736.67831,27111817299.821754,72235585166.0,42349.0,19284504599.0,5639475494.91746,9750039002.16276,17833548717.0,6923.0,0,0,0,0,915640,95280,7025901241.083447,13744586.222333984,28.0,28.0,28.0,0.0,0.0,0,1,0,0,8215,1,0,0,565.0,42.0,28.0,0.0,1
13:30:44,218417607643,41830,4422,112.0,0.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,,,17022369388.791414,23288183187.78791,63443659890.0,36218.0,218417540522.0,18609672185.833847,23873521061.07799,63443629288.0,40865.0,17542682112.0,5042955440.057143,8649636334.565645,15935667931.0,6707.0,0,0,0,0,836600,88440,7081835953.375888,15129421.50157908,56.0,56.0,56.0,0.0,0.0,0,2,0,0,8040,2,0,0,583.0,84.0,56.0,0.0,1
13:30:45,186614669027,37280,3842,168.0,0.0,84.0,56.0,60.0,10.16782254883588,0.0,0.0,0.0,0.0,112000000.53678292,,14789622728.390814,20343685316.863396,55313678869.0,39965.0,186614116655.0,16168182801.978273,20858877738.16706,55313156906.0,43308.0,12793905501.0,3718947009.2349205,6379695748.242701,11671317728.0,6530.0,0,0,0,0,745672,76936,6934945215.780532,14442711.708440104,56.0,84.0,59.294117647058826,9.298956298171,86.47058823529413,0,8,0,0,7669,13,3,0,563.0,87.5,60.0,0.0,1
13:30:46,170939437361,34946,3568,56.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,56000000.0,,13765668096.395224,18906785046.262615,51363037077.0,35289.0,170939374853.0,15010888409.851511,19372980267.243443,51363002585.0,39241.0,11929555577.0,3553991410.1238093,6108615331.623095,11084255596.0,6228.0,0,0,0,0,698920,71360,7007245267.721275,17256075.383628167,28.0,28.0,28.0,0.0,0.0,0,1,0,0,7493,1,0,0,574.0,42.0,28.0,0.0,1
