Date_Second, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size,Bwd Avg Bulk Rate,Subflow Fwd Packets,Label
13:04:45,81417919,3348,0,1230454.0,0.0,356018.0,333131.0,344248.4928571429,11920.615810899939,0.0,0.0,0.0,0.0,,,15671737.47284384,24152631.366272725,43112049.0,3389.0,81417919.0,15671737.47284384,24152631.366272725,43112049.0,3389.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-3348,0,838952326.1213547,0.0,333131.0,356018.0,342622.2589766615,11431.687580518537,350985.7899119628,0,0,0,0,0,0,0,0,0.0,472995.5488095238,344248.4928571429,0.0,0,3348,1
13:04:46,758990413,27592,216,9918182.0,0.0,2952536.0,2736917.0,2835685.7285714285,115175.68141024787,0.0,0.0,0.0,0.0,,,146606601.06183177,232765238.38990456,418359974.0,29968.0,758990413.0,146789923.120734,233000292.10522342,418360068.0,29968.0,114512947.0,532618.3581395352,1198259.1580967405,5976606.0,0.0,0,0,0,0,-27308,0,6175061261.296776,1.8022116591296533,2736917.0,2952536.0,2818763.369179675,109928.38434000718,3291475.041989424,0,0,0,0,0,0,0,0,0.0,3854181.1773809525,2835685.7285714285,0.0,0,27592,1
13:04:47,512691037,21936,0,7947072.0,0.0,2393022.0,2214862.0,2295298.6611111113,95206.97087059235,0.0,0.0,0.0,0.0,,,120461453.82004188,190549431.65234914,338623116.0,23295.0,512691037.0,120461453.82004188,190549431.65234914,338623116.0,23295.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,7002,0,4972408912.42879,0.0,2214862.0,2393022.0,2281278.7947175633,90820.11346982418,2734662.2357528433,0,0,0,0,0,0,0,0,0.0,3116158.7456349204,2295298.6611111113,0.0,0,21936,1
13:04:48,412890002,17632,8,6397058.0,104.0,1925871.0,1786032.0,1849389.7634920634,74610.7023399574,52.0,0.0,34.66666666666667,30.02221399786054,,,94605097.64951916,149402024.61560836,265498926.0,17315.0,412132484.0,94321207.73285249,148945051.28215322,264741516.0,17314.0,788.0,394.5,553.6646096690667,786.0,3.0,1,0,0,0,304250,256,3865432475.4245963,3395.3996800319687,1785964.0,1925871.0,1838374.584461153,71229.8003935547,2148913.301503759,0,0,1,0,0,3,2,0,6.0,2517737.051587302,1849389.7634920634,34.666666666666664,0,17632,1
13:04:49,341747159,14321,6,5196700.0,2146.0,1555543.0,1440160.0,1492591.7444444445,61698.29651405965,1073.0,0.0,357.66666666666663,554.0948173974077,,,77618643.42406015,123710771.77715188,222093588.0,13232.0,341747159.0,77860652.35263158,124100453.12479322,222093588.0,13232.0,1014.0,202.8,295.3044192016096,654.0,1.0,0,0,0,0,-46759466466,208,3284500960.351546,1.3281682346430548,1440160.0,1556026.0,1483550.0750000002,59013.64374247575,1923856.9690476188,0,0,0,0,1,0,0,0,0.0,2028769.5333333334,1492591.7444444445,357.66666666666674,0,14321,1
13:04:50,297835873,12472,7,4521644.0,2146.0,1355893.0,1254245.0,1299918.15,54172.30386005337,1073.0,0.0,306.57142857142856,523.570389136888,,,68516922.61902483,108909800.70509493,196253731.0,10708.0,292834568.0,68159775.83331054,107573436.71553235,191253133.0,10708.0,5002446.0,833741.0000000001,2041733.4888312928,5001412.0,1.0,0,0,0,0,-390017757093,240,2695331749.678509,1.3992849653826889,1254245.0,1356297.0,1292067.3456043957,51791.65740757448,1710078.8978021976,0,0,0,0,1,0,0,0,0.0,1764379.2166666666,1299918.15,306.57142857142856,0,12472,1
13:04:51,229204297,10118,0,3679626.0,0.0,1135991.0,1055519.0,1092359.1595238096,43329.140599511826,0.0,0.0,0.0,0.0,,,54814521.234972045,87478937.90800945,155082964.0,8511.0,229204297.0,54814521.234972045,87478937.90800945,155082964.0,8511.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-382578752876,0,2291489327.0646787,0.0,1055519.0,1135991.0,1085874.0984126984,41312.55870082916,1237898.9849206347,0,0,0,0,0,0,0,0,0.0,1490398.9535714285,1092359.1595238096,0.0,0,10118,1
13:04:52,172850297,7456,0,2709676.0,0.0,821914.0,762776.0,789553.5833333334,31596.967860365014,0.0,0.0,0.0,0.0,565907294230.3175,1464277822.7258296,40024796.2718159,63315701.85024943,112499136.0,5883.0,172850297.0,40024796.2718159,63315701.85024943,112499136.0,5883.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-412334903690,0,1464277822.7258296,0.0,762776.0,821914.0,784889.967032967,30146.495839073268,907686.1716117215,0,0,0,0,0,0,0,0,0.0,1075596.7916666667,789553.5833333334,0.0,0,7456,1
13:04:53,152037462,6506,3,2358268.0,0.0,712011.0,658854.0,682864.1404761905,28434.300252776226,0.0,0.0,0.0,0.0,471541596113.88464,1219854415.9069676,35976280.47480239,56959302.02234389,101199865.0,4889.0,152037214.0,35976082.47480239,56959299.19391677,101199665.0,4693.0,48.0,48.0,0.0,48.0,48.0,0,0,0,0,-1041464554076,96,1219827659.1502109,26756.756756756757,658854.0,712011.0,678666.1238095239,27121.386264981797,816702.6738095237,0,0,0,0,0,2,2,0,3.0,926779.7107142857,682864.1404761905,0.0,0,6506,1
13:04:54,129836182,5750,0,2085844.0,0.0,644195.0,598148.0,618978.0761904762,24696.437718068875,0.0,0.0,0.0,0.0,448143859503.8961,1160945594.7100666,31387114.68580542,49868880.29521805,88510827.0,4260.0,129836182.0,31387114.68580542,49868880.29521805,88510827.0,4260.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,89056,0,1160945594.7100666,0.0,598148.0,644195.0,615308.1252747253,23549.536540934,704475.7934065933,0,0,0,0,0,0,0,0,0.0,843502.8285714285,618978.0761904762,0.0,0,5750,1
